,source,target,Unnamed: 0
11258,W2965373594,W2914526845,41.0
11259,W2965373594,W2920812691,42.0
11260,W2965373594,W2930786691,43.0
11262,W2965373594,W2963403868,45.0
11306,W2962739339,W1522301498,93.0
11308,W2962739339,W2251939518,95.0
11314,W2962739339,W2064675550,101.0
11324,W2962739339,W2158899491,111.0
11348,W1514535095,W1527575280,143.0
11349,W1514535095,W1586939924,144.0
11350,W1514535095,W1591801644,145.0
11351,W1514535095,W1606347560,146.0
11352,W1514535095,W1686810756,147.0
11353,W1514535095,W1687846465,148.0
11354,W1514535095,W1753482797,149.0
11355,W1514535095,W1810943226,150.0
11356,W1514535095,W1850742715,151.0
11357,W1514535095,W1858383477,152.0
11358,W1514535095,W1895577753,154.0
11359,W1514535095,W1905882502,155.0
11360,W1514535095,W1909320841,156.0
11361,W1514535095,W1931639407,157.0
11362,W1514535095,W1947481528,158.0
11363,W1514535095,W1959608418,159.0
11364,W1514535095,W1969616664,160.0
11365,W1514535095,W2064675550,162.0
11374,W2525778437,W1968594024,187.0
11375,W2525778437,W2121879602,188.0
11376,W2525778437,W2251743902,189.0
11377,W1522301498,W1810943226,193.0
11379,W1522301498,W2100495367,197.0
11382,W1903029394,W1686810756,241.0
11385,W1903029394,W2125215748,257.0
11386,W1905829557,W1686810756,264.0
11387,W1905829557,W1903029394,266.0
11395,W2083366168,W2019969451,389.0
11397,W2099471712,W1606347560,457.0
11398,W2099471712,W1909320841,462.0
11399,W2099471712,W1959608418,463.0
11400,W2125389028,W2099471712,498.0
11401,W2962793481,W2963073614,513.0
11402,W2962793481,W1905829557,514.0
11403,W2962793481,W2019969451,515.0
11404,W2962793481,W2083366168,516.0
11405,W2962793481,W2099471712,517.0
11406,W2962793481,W2100495367,518.0
11407,W2962793481,W2116013899,519.0
11408,W2962793481,W1686810756,522.0
11409,W2962793481,W1903029394,524.0
11410,W2962793481,W1959608418,526.0
11411,W2962793481,W2194775991,533.0
11414,W2962785568,W2963073614,536.0
11416,W2962785568,W1686810756,540.0
11420,W4312933868,W2963073614,559.0
11421,W4312933868,W2125389028,560.0
11422,W4312933868,W2962785568,561.0
11423,W4312933868,W1686810756,563.0
11424,W4312933868,W1909320841,566.0
11425,W4312933868,W1959608418,567.0
11428,W4312933868,W2980282514,581.0
11429,W4312933868,W4385245566,582.0
11430,W2593414223,W2963073614,583.0
11431,W2593414223,W2125389028,584.0
11432,W2593414223,W1522301498,585.0
11433,W2593414223,W1686810756,586.0
11434,W2593414223,W1903029394,588.0
11435,W2593414223,W1959608418,589.0
11436,W2593414223,W2099471712,590.0
11437,W2593414223,W2100495367,591.0
11438,W2593414223,W2194775991,594.0
11440,W2603777577,W2963073614,605.0
11442,W2603777577,W2116013899,607.0
11443,W2603777577,W1522301498,608.0
11444,W2603777577,W1686810756,609.0
11446,W2603777577,W1959608418,612.0
11447,W2603777577,W2099471712,614.0
11449,W2963800363,W2963073614,626.0
11451,W2963800363,W2125389028,628.0
11452,W2963800363,W2962793481,629.0
11453,W2963800363,W2593414223,630.0
11454,W2963800363,W1686810756,632.0
11455,W2963800363,W1903029394,635.0
11456,W2963800363,W1959608418,636.0
11457,W2963800363,W2194775991,642.0
11461,W2963800363,W2560023338,651.0
11462,W2963767194,W2963073614,652.0
11463,W2963767194,W2125389028,653.0
11464,W2963767194,W2962793481,654.0
11465,W2963767194,W1522301498,655.0
11466,W2963767194,W1959608418,657.0
11467,W2963767194,W2099471712,658.0
11468,W2963767194,W2194775991,661.0
11471,W2765811365,W2963073614,676.0
11472,W2765811365,W2125389028,677.0
11473,W2765811365,W2962793481,678.0
11475,W2765811365,W1959608418,681.0
11476,W2765811365,W2099471712,685.0
11490,W1810943226,W2064675550,751.0
11517,W2194775991,W1903029394,864.0
11521,W2194775991,W1686810756,873.0
11522,W2194775991,W2064675550,885.0
11524,W2752782242,W1903029394,900.0
11525,W2752782242,W2194775991,901.0
11526,W2752782242,W2963403868,902.0
11528,W2752782242,W1686810756,904.0
11530,W2752782242,W2064675550,906.0
11531,W2752782242,W1514535095,907.0
11532,W2752782242,W603908379,921.0
11533,W2752782242,W2549139847,922.0
11536,W2560023338,W2125215748,936.0
11539,W2560023338,W1686810756,941.0
11540,W2560023338,W1903029394,946.0
11543,W1686810756,W1527575280,959.0
11572,W2048695508,W2037133587,1197.0
11573,W2048695508,W2056370875,1207.0
11609,W1978749115,W2056370875,1293.0
11610,W1909320841,W2144898279,1326.0
11611,W2954996726,W2099471712,1361.0
11612,W2954996726,W2593414223,1362.0
11616,W2954996726,W1686810756,1370.0
11617,W2954996726,W1903029394,1372.0
11621,W2954996726,W2402144811,1385.0
11653,W3121661546,W2593414223,1591.0
11654,W3121661546,W2963767194,1592.0
11657,W3121661546,W2099471712,1602.0
11673,W2170973209,W1591801644,1769.0
11674,W2170973209,W1810943226,1772.0
11675,W2170973209,W1895577753,1775.0
11676,W2170973209,W2064675550,1778.0
11679,W2784121710,W1903029394,1827.0
11680,W2784121710,W2194775991,1839.0
11681,W2805206884,W1599016936,1844.0
11683,W2805206884,W2064675550,1849.0
11686,W2805206884,W2170973209,1858.0
11687,W2805206884,W2194775991,1859.0
11690,W2914120296,W2462831000,1884.0
11691,W2914120296,W1522301498,1885.0
11692,W2914120296,W2064675550,1887.0
11693,W2914120296,W2251939518,1892.0
11694,W2914526845,W131533222,1904.0
11695,W2914526845,W1522301498,1905.0
11696,W2914526845,W1599016936,1906.0
11698,W2914526845,W2158899491,1911.0
11699,W2914526845,W2251939518,1912.0
11700,W2920812691,W131533222,1925.0
11703,W2920812691,W2170973209,1930.0
11704,W2920812691,W2194775991,1931.0
11705,W2920812691,W2251939518,1932.0
11707,W2920812691,W2962739339,1940.0
11742,W2978017171,W2965373594,2040.0
11745,W2996428491,W2965373594,2058.0
11746,W2996428491,W131533222,2059.0
11747,W2996428491,W1599016936,2060.0
11748,W2996428491,W2170973209,2061.0
11749,W2996428491,W2805206884,2062.0
11750,W2996428491,W2899663614,2063.0
11751,W2996428491,W2930786691,2064.0
11753,W2996428491,W2251939518,2071.0
11756,W2996428491,W2963631907,2081.0
11769,W2980282514,W2965373594,2108.0
11770,W2980282514,W2978017171,2109.0
11773,W2980282514,W2963403868,2126.0
11801,W1527575280,W1591801644,2235.0
11802,W1527575280,W1686810756,2237.0
11803,W1527575280,W1687846465,2238.0
